"customer_id","total_transactions","total_transaction_amount"
"100156","6","70000"
"100215","6","60000"
"100142","1","10000"
"100063","1","10000"
"100012","1","10000"
"100086","1","10000"
"100080","1","10000"
"100134","1","10000"
"100090","1","10000"
"100154","1","10000"
"100161","1","10000"
"100114","1","10000"
"100165","1","10000"
"100022","1","10000"
"100168","1","10000"
"100208","1","10000"
"100172","1","10000"
"100038","1","10000"
"100229","1","10000"
"100120","1","10000"
"100043","1","10000"
"100015","1","10000"
"100157","1","10000"
"100057","1","10000"
"100011","1","10000"
"100221","1","10000"
"100069","1","10000"
"100197","1","10000"
"100056","1","10000"
"100167","1","10000"
"100072","1","10000"
"100095","1","10000"
"100048","1","10000"
"100044","1","10000"
"100188","1","10000"
"100037","1","10000"
"100105","1","10000"
"100173","1","10000"
"100110","1","10000"
"100143","1","10000"
"100230","1","10000"
"100141","1","10000"
"100137","1","10000"
"100187","1","10000"
"100129","1","10000"
"100125","1","10000"
"100099","1","10000"
"100097","1","10000"
"100075","1","10000"
"100174","1","10000"
"100088","1","10000"
"100140","1","10000"
"100082","1","10000"
"100119","1","10000"
"100061","1","10000"
"100040","1","10000"
"100031","1","10000"
"100111","1","10000"
"100055","1","10000"
"100130","1","10000"
"100096","1","10000"
"100126","1","10000"
"100042","1","10000"
"100226","1","10000"
"100139","1","10000"
"100093","1","10000"
"100159","1","10000"
"100064","1","10000"
"100175","1","10000"
"100205","1","10000"
"100153","1","10000"
"100100","1","10000"
"100016","1","10000"
"100019","1","10000"
"100074","1","10000"
"100077","1","10000"
"100084","1","10000"
"100102","1","10000"
"100233","1","10000"
"100071","1","10000"
"100089","1","10000"
"100223","1","10000"
"100232","1","10000"
"100083","1","10000"
"100034","1","10000"
"100014","1","10000"
"100033","1","10000"
"100222","1","10000"
"100231","1","10000"
"100131","1","10000"
"100150","1","10000"
"100234","1","10000"
"100053","1","10000"
"100024","1","10000"
"100067","1","10000"
"100050","1","10000"
"100207","1","10000"
"100194","1","10000"
"100185","1","10000"
"100101","1","10000"
"100103","1","10000"
"100193","1","10000"
"100152","1","10000"
"100045","1","10000"
"100196","1","10000"
"100195","1","10000"
"100146","1","10000"
"100132","1","10000"
"100112","1","10000"
"100049","1","10000"
"100228","1","10000"
"100107","1","10000"
"100151","1","10000"
"100092","1","10000"
"100013","1","10000"
"100017","1","10000"
"100035","1","10000"
"100136","1","10000"
"100070","1","10000"
"100145","1","10000"
"100106","1","10000"
"100047","1","10000"
"100227","1","10000"
"100166","1","10000"
"100213","1","10000"
"100062","1","10000"
"100108","1","10000"
"100079","1","10000"
"100163","1","10000"
"100204","1","10000"
"100164","1","10000"
"100198","1","10000"
"100059","1","10000"
"100180","1","10000"
"100081","1","10000"
"100113","1","10000"
"100030","1","10000"
"100179","1","10000"
"100046","1","10000"
"100026","1","10000"
"100078","1","10000"
"100176","1","10000"
"100028","1","10000"
"100021","1","10000"
"100200","1","10000"
"100104","1","10000"
"100025","1","10000"
"100147","1","10000"
"100144","1","10000"
"100116","1","10000"
"100162","1","10000"
"100041","1","10000"
"100060","1","10000"
"100109","1","10000"
"100184","1","10000"
"100128","1","10000"
"100177","1","10000"
"100085","1","10000"
"100211","1","10000"
"100189","1","10000"
"100122","1","10000"
"100212","1","10000"
"100206","1","10000"
"100199","1","10000"
"100124","1","10000"
"100148","1","10000"
"100169","1","10000"
"100127","1","10000"
"100115","1","10000"
"100065","1","10000"
"100054","1","10000"
"100027","1","10000"
"100186","1","10000"
"100094","1","10000"
"100029","1","10000"
"100023","1","10000"
"100076","1","10000"
"100098","1","10000"
"100036","1","10000"
"100210","1","10000"
"100160","1","10000"
"100058","1","10000"
"100121","1","10000"
"100018","1","10000"
"100066","1","10000"
"100183","1","10000"
"100158","1","10000"
"100181","1","10000"
"100087","1","10000"
"100039","1","10000"
"100225","1","10000"
"100171","1","10000"
"100123","1","10000"
"100214","1","10000"
"100135","1","10000"
"100178","1","10000"
"100073","1","10000"
"100052","1","10000"
"100138","1","10000"
"100020","1","10000"
"100091","1","10000"
"100209","1","10000"
"100155","1","10000"
"100118","1","10000"
"100117","1","10000"
"100051","1","10000"
"100182","1","10000"
"100170","1","10000"
"100032","1","10000"
"100224","1","10000"
"100192","1","7000"
"100149","1","10"
"100068","1","10"
"100133","1","10"
