"customer_id","period","region","currency","total_allocation"
"100156","DEC-16","East","RWF","30000"
"100199","DEC-16","East","RWF","10000"
"100204","DEC-16","East","RWF","10000"
"100209","DEC-16","East","RWF","10000"
"100214","DEC-16","East","RWF","10000"
"100215","DEC-16","East","RWF","10000"
"100234","DEC-2015","East","RWF","10000"
"100011","JAN-16","East","RWF","10000"
"100016","JAN-16","East","RWF","10000"
"100021","JAN-16","East","RWF","10000"
"100026","JAN-16","East","RWF","10000"
"100031","JAN-16","East","RWF","10000"
"100036","JAN-16","East","RWF","10000"
"100041","JAN-16","East","RWF","10000"
"100046","JAN-16","East","RWF","10000"
"100051","JAN-16","East","RWF","10000"
"100056","JAN-16","East","RWF","10000"
"100061","JAN-16","East","RWF","10000"
"100066","JAN-16","East","RWF","10000"
"100071","JAN-16","East","RWF","10000"
"100076","JAN-16","East","RWF","10000"
"100081","JAN-16","East","RWF","10000"
"100086","JAN-16","East","RWF","10000"
"100091","JAN-16","East","RWF","10000"
"100096","JAN-16","East","RWF","10000"
"100101","JAN-16","East","RWF","10000"
"100106","JAN-16","East","RWF","10000"
"100111","JAN-16","East","RWF","10000"
"100116","JAN-16","East","RWF","10000"
"100121","JAN-16","East","RWF","10000"
"100126","JAN-16","East","RWF","10000"
"100131","JAN-16","East","RWF","10000"
"100215","JAN-16","East","RWF","50000"
"100225","JAN-16","East","RWF","10000"
"100136","MAR-16","East","RWF","10000"
"100141","MAR-16","East","RWF","10000"
"100146","MAR-16","East","RWF","10000"
"100151","MAR-16","East","RWF","10000"
"100156","MAR-16","East","EUR","30000"
"100156","MAR-16","East","RWF","10000"
"100194","MAR-16","East","EUR","10000"
"100197","DEC-16","Mvk","RWF","10000"
"100207","DEC-16","Mvk","RWF","10000"
"100212","DEC-16","Mvk","RWF","10000"
"100232","DEC-2015","Mvk","RWF","10000"
"100014","JAN-16","Mvk","RWF","10000"
"100019","JAN-16","Mvk","RWF","10000"
"100024","JAN-16","Mvk","RWF","10000"
"100029","JAN-16","Mvk","RWF","10000"
"100034","JAN-16","Mvk","RWF","10000"
"100039","JAN-16","Mvk","RWF","10000"
"100044","JAN-16","Mvk","RWF","10000"
"100049","JAN-16","Mvk","RWF","10000"
"100054","JAN-16","Mvk","RWF","10000"
"100059","JAN-16","Mvk","RWF","10000"
"100064","JAN-16","Mvk","RWF","10000"
"100069","JAN-16","Mvk","RWF","10000"
"100074","JAN-16","Mvk","RWF","10000"
"100079","JAN-16","Mvk","RWF","10000"
"100084","JAN-16","Mvk","RWF","10000"
"100089","JAN-16","Mvk","RWF","10000"
"100094","JAN-16","Mvk","RWF","10000"
"100099","JAN-16","Mvk","RWF","10000"
"100104","JAN-16","Mvk","RWF","10000"
"100109","JAN-16","Mvk","RWF","10000"
"100114","JAN-16","Mvk","RWF","10000"
"100119","JAN-16","Mvk","RWF","10000"
"100124","JAN-16","Mvk","RWF","10000"
"100129","JAN-16","Mvk","RWF","10000"
"100134","JAN-16","Mvk","RWF","10000"
"100223","JAN-16","Mvk","RWF","10000"
"100228","JAN-16","Mvk","RWF","10000"
"100139","MAR-16","Mvk","RWF","10000"
"100144","MAR-16","Mvk","RWF","10000"
"100149","MAR-16","Mvk","RWF","10"
"100154","MAR-16","Mvk","RWF","10000"
"100192","MAR-16","Mvk","EUR","7000"
"100200","DEC-16","North","RWF","10000"
"100205","DEC-16","North","RWF","10000"
"100210","DEC-16","North","RWF","10000"
"100230","DEC-2015","North","RWF","10000"
"100012","JAN-16","North","RWF","10000"
"100017","JAN-16","North","RWF","10000"
"100022","JAN-16","North","RWF","10000"
"100027","JAN-16","North","RWF","10000"
"100032","JAN-16","North","RWF","10000"
"100037","JAN-16","North","RWF","10000"
"100042","JAN-16","North","RWF","10000"
"100047","JAN-16","North","RWF","10000"
