id,period,transaction_type,currency,total_disbursement
100011,JAN-16,D,RWF,10000.0
100012,JAN-16,D,RWF,10000.0
100013,JAN-16,D,RWF,10000.0
100014,JAN-16,D,RWF,10000.0
100015,JAN-16,D,RWF,10000.0
100016,JAN-16,D,RWF,10000.0
100017,JAN-16,D,RWF,10000.0
100018,JAN-16,D,RWF,10000.0
100019,JAN-16,D,RWF,10000.0
100020,JAN-16,D,RWF,10000.0
100021,JAN-16,D,RWF,10000.0
100022,JAN-16,D,RWF,10000.0
100023,JAN-16,D,RWF,10000.0
100024,JAN-16,D,RWF,10000.0
100025,JAN-16,D,RWF,10000.0
100026,JAN-16,D,RWF,10000.0
100027,JAN-16,D,RWF,10000.0
100028,JAN-16,D,RWF,10000.0
100029,JAN-16,D,RWF,10000.0
100030,JAN-16,D,RWF,10000.0
100031,JAN-16,D,RWF,10000.0
100032,JAN-16,D,RWF,10000.0
100033,JAN-16,D,RWF,10000.0
100034,JAN-16,D,RWF,10000.0
100035,JAN-16,D,RWF,10000.0
100036,JAN-16,D,RWF,10000.0
100037,JAN-16,D,RWF,10000.0
100038,JAN-16,D,RWF,10000.0
100039,JAN-16,"9,990",RWF,10.0
100040,JAN-16,D,RWF,10000.0
100041,JAN-16,D,RWF,10000.0
100042,JAN-16,D,RWF,10000.0
100043,JAN-16,D,RWF,10000.0
100044,JAN-16,D,RWF,10000.0
100045,JAN-16,D,RWF,10000.0
100046,JAN-16,D,RWF,10000.0
100047,JAN-16,D,RWF,10000.0
100048,JAN-16,D,RWF,10000.0
100049,JAN-16,D,RWF,10000.0
100050,JAN-16,D,RWF,10000.0
100051,JAN-16,D,RWF,10000.0
100052,JAN-16,D,RWF,10000.0
100053,JAN-16,D,RWF,10000.0
100054,JAN-16,D,RWF,10000.0
100055,JAN-16,D,RWF,10000.0
100056,JAN-16,D,RWF,10000.0
100057,JAN-16,D,RWF,10000.0
100058,JAN-16,D,RWF,10000.0
100059,JAN-16,D,RWF,10000.0
100060,JAN-16,D,RWF,10000.0
100061,JAN-16,D,RWF,10000.0
100062,JAN-16,D,RWF,10000.0
100063,JAN-16,D,RWF,10000.0
100064,JAN-16,D,RWF,10000.0
100065,JAN-16,D,RWF,10000.0
100066,JAN-16,D,RWF,10000.0
100067,JAN-16,D,RWF,10000.0
100068,JAN-16,D,RWF,10.0
100069,JAN-16,D,RWF,10000.0
100070,JAN-16,D,RWF,10000.0
100071,JAN-16,D,RWF,10000.0
100072,JAN-16,USD,RWF,10000.0
100073,JAN-16,D,RWF,10000.0
100074,JAN-16,D,RWF,10000.0
100075,JAN-16,D,RWF,10000.0
100076,JAN-16,D,RWF,10000.0
100077,JAN-16,D,RWF,10000.0
100078,JAN-16,D,RWF,10000.0
100079,JAN-16,D,RWF,10000.0
100080,JAN-16,D,RWF,10000.0
100081,JAN-16,D,RWF,10000.0
100082,JAN-16,D,RWF,10000.0
100083,JAN-16,D,RWF,10000.0
100084,JAN-16,D,RWF,10000.0
100085,JAN-16,D,RWF,10000.0
100086,JAN-16,D,RWF,10000.0
100087,JAN-16,D,RWF,10000.0
100088,JAN-16,D,RWF,10000.0
100089,JAN-16,D,RWF,10000.0
100090,JAN-16,D,RWF,10000.0
100091,JAN-16,D,RWF,10000.0
100092,JAN-16,D,RWF,10000.0
100093,JAN-16,D,RWF,10000.0
100094,JAN-16,D,RWF,10000.0
100095,JAN-16,D,RWF,10000.0
100096,JAN-16,D,RWF,10000.0
100097,JAN-16,D,RWF,10000.0
100098,JAN-16,D,RWF,10000.0
100099,JAN-16,D,RWF,10000.0
100100,JAN-16,D,RWF,10000.0
100101,JAN-16,D,RWF,10000.0
100102,JAN-16,D,RWF,10000.0
100103,JAN-16,D,RWF,10000.0
100104,JAN-16,D,RWF,10000.0
100105,JAN-16,D,RWF,10000.0
100106,JAN-16,D,RWF,10000.0
100107,JAN-16,D,RWF,10000.0
100108,JAN-16,D,RWF,10000.0
100109,JAN-16,D,RWF,10000.0
100110,JAN-16,D,RWF,10000.0
100111,JAN-16,D,RWF,10000.0
100112,JAN-16,D,RWF,10000.0
100113,JAN-16,D,RWF,10000.0
100114,JAN-16,D,RWF,10000.0
100115,JAN-16,D,RWF,10000.0
100116,JAN-16,D,RWF,10000.0
100117,JAN-16,D,RWF,10000.0
100118,JAN-16,D,RWF,10000.0
100119,JAN-16,D,RWF,10000.0
100120,JAN-16,D,RWF,10000.0
100121,JAN-16,D,RWF,10000.0
100122,JAN-16,D,RWF,10000.0
100123,JAN-16,D,RWF,10000.0
100124,JAN-16,D,RWF,10000.0
100125,JAN-16,D,RWF,10000.0
100126,JAN-16,D,RWF,10000.0
100127,JAN-16,D,RWF,10000.0
100128,JAN-16,D,RWF,10000.0
100129,JAN-16,D,RWF,10000.0
100130,JAN-16,D,RWF,10000.0
100131,JAN-16,D,RWF,10000.0
100132,JAN-16,D,RWF,10000.0
100133,JAN-16,D,RWF,10.0
100134,JAN-16,D,RWF,10000.0
100135,MAR-16,D,RWF,10000.0
100136,MAR-16,D,RWF,10000.0
100137,MAR-16,D,RWF,10000.0
100138,MAR-16,D,RWF,10000.0
100139,MAR-16,D,RWF,10000.0
100140,MAR-16,D,RWF,10000.0
100141,MAR-16,D,RWF,10000.0
100142,MAR-16,D,RWF,10000.0
100143,MAR-16,D,RWF,10000.0
100144,MAR-16,D,RWF,10000.0
100145,MAR-16,UNKNOWN,RWF,10000.0
100146,MAR-16,D,RWF,10000.0
100147,MAR-16,D,RWF,10000.0
100148,MAR-16,UNKNOWN,RWF,10000.0
100149,MAR-16,D,RWF,10.0
100150,MAR-16,D,RWF,10000.0
100151,MAR-16,D,RWF,10000.0
100152,MAR-16,D,RWF,10000.0
100153,MAR-16,D,RWF,10000.0
100154,MAR-16,D,RWF,10000.0
100155,MAR-16,D,RWF,10000.0
100156,DEC-16,C,RWF,10000.0
100156,DEC-16,D,RWF,20000.0
100156,MAR-16,D,EUR,30000.0
100156,MAR-16,D,RWF,10000.0
100157,MAR-16,D,RWF,10000.0
100158,MAR-16,D,RWF,10000.0
100159,MAR-16,D,RWF,10000.0
100160,MAR-16,D,RWF,10000.0
100161,MAR-16,D,RWF,10000.0
100162,MAR-16,D,RWF,10000.0
100163,JAN-16,D,USD,10000.0
100164,JAN-16,D,RWF,10000.0
100165,JAN-16,D,RWF,10000.0
100166,JAN-16,D,RWF,10000.0
100167,JAN-16,D,RWF,10000.0
100168,JAN-16,D,USD,10000.0
100169,JAN-16,D,USD,10000.0
100170,MAR-16,C,RWF,10000.0
100171,MAR-16,C,RWF,10000.0
100172,MAR-16,C,RWF,10000.0
100173,MAR-16,D,RWF,10000.0
100174,MAR-16,D,RWF,10000.0
100175,MAR-16,D,RWF,10000.0
100176,MAR-16,D,RWF,10000.0
100177,MAR-16,D,RWF,10000.0
100178,MAR-16,D,RWF,10000.0
100179,MAR-16,D,RWF,10000.0
100180,MAR-16,D,RWF,10000.0
100181,MAR-16,D,RWF,10000.0
100182,MAR-16,D,RWF,10000.0
100183,MAR-16,D,RWF,10000.0
100184,MAR-16,D,RWF,10000.0
100185,MAR-16,D,RWF,10000.0
100186,NAN,D,EUR,10000.0
100187,MAR-16,D,EUR,10000.0
100188,MAR-16,D,EUR,10000.0
100189,MAR-16,D,EUR,10000.0
100192,MAR-16,D,EUR,7000.0
100193,MAR-16,D,EUR,10000.0
100194,MAR-16,D,EUR,10000.0
100195,MAR-16,D,RWF,10000.0
100196,DEC-16,D,RWF,10000.0
100197,DEC-16,C,RWF,10000.0
100198,DEC-16,D,RWF,10000.0
100199,DEC-16,D,RWF,10000.0
100200,DEC-16,D,RWF,10000.0
100204,DEC-16,D,RWF,10000.0
100205,DEC-16,D,RWF,10000.0
100206,DEC-16,C,RWF,10000.0
100207,DEC-16,C,RWF,10000.0
100208,DEC-16,C,RWF,10000.0
100209,DEC-16,C,RWF,10000.0
100210,DEC-16,C,RWF,10000.0
100211,DEC-16,C,RWF,10000.0
100212,DEC-16,D,RWF,10000.0
